"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"971",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"972",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"973",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"974",0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
"975",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
"976",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
"977",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"978",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"979",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"980",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"981",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"982",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"983",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
"984",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"985",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"986",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
"987",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"988",0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1
"989",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"990",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"991",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"992",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"993",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"994",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"995",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"996",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"997",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"998",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"999",0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
"1000",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1001",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1002",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"1003",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1004",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"1005",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1006",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1007",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
"1008",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"1009",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
"1010",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"1011",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"1012",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1013",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1014",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1015",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"1016",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1017",0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
"1018",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"1019",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"1020",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1021",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1022",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"1023",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"1024",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1025",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1026",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"1027",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1028",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1029",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"1030",0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
"1031",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1032",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"1033",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1034",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1035",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"1036",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1037",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1038",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"1039",0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1040",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
"1041",0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"1042",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"1043",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"1044",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"1045",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"1046",0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"1047",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
"1048",0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
"1049",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1050",0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
"1051",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1052",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1053",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1054",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"1055",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"1056",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"1057",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"1058",0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"1059",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"1060",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"1061",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1062",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1063",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1064",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"1065",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1066",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1067",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1068",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"1069",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"1070",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1071",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1072",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1073",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"1074",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"1075",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1076",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"1077",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1078",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1079",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"1080",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"1081",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1082",0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"1083",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
"1084",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1085",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1086",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1087",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
"1088",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1089",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1090",0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"1091",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"1092",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1093",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1094",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"1095",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1096",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"1097",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"1098",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1099",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1100",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1101",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1102",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"1103",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"1104",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"1105",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1106",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"1107",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1108",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1109",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1110",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
"1111",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"1112",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1113",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"1114",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"1115",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1116",0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
"1117",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1118",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1119",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
"1120",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"1121",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1122",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1123",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1124",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1125",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
"1126",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1127",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1128",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1129",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1130",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1131",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"1132",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1133",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1134",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1135",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
"1136",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"1137",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1138",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1139",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1140",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1141",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1142",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"1143",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"1144",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"1145",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1146",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"1147",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
"1148",0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"1149",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1150",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1151",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1152",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1153",0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1
"1154",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"1155",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1156",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"1157",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"1158",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1159",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
"1160",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1161",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1162",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1163",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"1164",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"1165",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1166",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"1167",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
"1168",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
"1169",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"1170",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"1171",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1172",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1173",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1174",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
"1175",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"1176",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"1177",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1178",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"1179",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"1180",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"1181",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1182",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1183",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"1184",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"1185",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1186",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1187",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"1188",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1189",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1190",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"1191",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1192",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"1193",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"1194",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1195",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
"1196",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1197",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"1198",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
"1199",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1200",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1201",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"1202",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"1203",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1204",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1205",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1206",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1207",0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"1208",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"1209",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
"1210",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1211",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1212",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"1213",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
"1214",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"1215",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1216",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1217",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1218",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1219",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1220",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1221",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"1222",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"1223",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1224",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1225",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"1226",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1227",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"1228",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1229",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"1230",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1231",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"1232",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"1233",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1234",0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"1235",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1236",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1237",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"1238",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"1239",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
"1240",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"1241",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"1242",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"1243",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"1244",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"1245",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"1246",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1247",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"1248",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1249",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1250",0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"1251",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1252",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1253",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
"1254",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1255",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1256",0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
"1257",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"1258",0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
"1259",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1260",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1261",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1262",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
"1263",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1264",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"1265",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"1266",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"1267",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"1268",0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
"1269",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"1270",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1271",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1272",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1273",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"1274",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1275",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"1276",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"1277",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
"1278",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1279",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"1280",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"1281",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
"1282",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1283",0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"1284",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1285",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1286",0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
"1287",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
